label,case,rows,samples,median_ns,p25_ns,p75_ns
bool-after,bool_partial_c1_plain,0,36,612.005,608.709,614.462
bool-after,bool_partial_c1_plain,1,36,446.660,445.456,447.526
bool-after,bool_partial_c1_plain,64,36,455.645,454.032,456.865
bool-after,bool_partial_c1_plain,1024,36,597.631,596.779,600.067
bool-after,bool_partial_c1_plain,16384,36,2827.393,2819.051,2854.391
bool-after,bool_partial_c2_multi,0,36,614.527,613.065,617.549
bool-after,bool_partial_c2_multi,1,36,452.341,451.336,453.814
bool-after,bool_partial_c2_multi,64,36,461.955,459.778,464.989
bool-after,bool_partial_c2_multi,1024,36,614.568,606.260,619.438
bool-after,bool_partial_c2_multi,16384,36,2987.082,2980.794,3022.298
bool-after,bool_partial_c2_plain,0,36,612.071,609.260,614.762
bool-after,bool_partial_c2_plain,1,36,452.673,450.863,453.600
bool-after,bool_partial_c2_plain,64,36,457.278,456.572,458.728
bool-after,bool_partial_c2_plain,1024,36,602.509,600.779,610.629
bool-after,bool_partial_c2_plain,16384,36,2878.275,2859.660,2905.996
bool-after,bool_retry_c0_multi,0,36,456.077,454.113,457.645
bool-after,bool_retry_c0_multi,1,36,278.856,278.347,279.216
bool-after,bool_retry_c0_multi,64,36,755.173,754.409,756.539
bool-after,bool_retry_c0_multi,1024,36,1558.227,1544.154,1577.474
bool-after,bool_retry_c0_multi,16384,36,15349.445,15283.447,15504.599
bool-after,bool_retry_c0_plain,0,36,451.541,450.888,453.505
bool-after,bool_retry_c0_plain,1,36,277.552,275.346,279.586
bool-after,bool_retry_c0_plain,64,36,756.663,754.868,758.438
bool-after,bool_retry_c0_plain,1024,36,1552.287,1538.152,1574.107
bool-after,bool_retry_c0_plain,16384,36,15246.664,15172.406,15327.637
bool-after,bool_retry_c1_multi,0,36,613.927,611.555,616.303
bool-after,bool_retry_c1_multi,1,36,267.140,266.325,269.169
bool-after,bool_retry_c1_multi,64,36,740.000,736.219,742.345
bool-after,bool_retry_c1_multi,1024,36,1463.522,1446.655,1488.174
bool-after,bool_retry_c1_multi,16384,36,13471.192,13427.653,13726.440
bool-after,bool_retry_c1_plain,0,36,609.945,607.689,612.134
bool-after,bool_retry_c1_plain,1,36,265.943,265.290,266.461
bool-after,bool_retry_c1_plain,64,36,738.693,734.375,743.106
bool-after,bool_retry_c1_plain,1024,36,1463.379,1443.375,1473.526
bool-after,bool_retry_c1_plain,16384,36,13428.875,13372.886,13575.643
bool-after,bool_retry_c2_multi,0,36,615.769,614.660,617.681
bool-after,bool_retry_c2_multi,1,36,271.049,270.099,272.591
bool-after,bool_retry_c2_multi,64,36,739.029,737.475,742.406
bool-after,bool_retry_c2_multi,1024,36,1507.904,1499.699,1513.071
bool-after,bool_retry_c2_multi,16384,36,14559.084,14388.426,14730.224
bool-after,bool_retry_c2_plain,0,36,614.288,612.870,614.942
bool-after,bool_retry_c2_plain,1,36,269.554,268.745,272.894
bool-after,bool_retry_c2_plain,64,36,737.335,735.115,740.527
bool-after,bool_retry_c2_plain,1024,36,1500.946,1495.183,1523.036
bool-after,bool_retry_c2_plain,16384,36,14451.498,14221.152,14647.421
selected-before,selected_filtered_c0_multi,0,36,475.195,472.034,476.742
selected-before,selected_filtered_c0_multi,1,36,164.148,163.429,165.338
selected-before,selected_filtered_c0_multi,64,36,1730.285,1725.327,1738.119
selected-before,selected_filtered_c0_multi,1024,36,2696.675,2685.923,2742.727
selected-before,selected_filtered_c0_multi,16384,36,19833.984,19765.865,19854.818
selected-before,selected_filtered_c0_plain,0,36,472.552,471.489,473.629
selected-before,selected_filtered_c0_plain,1,36,163.159,162.965,163.646
selected-before,selected_filtered_c0_plain,64,36,1738.007,1729.497,1745.900
selected-before,selected_filtered_c0_plain,1024,36,2702.291,2696.858,2718.790
selected-before,selected_filtered_c0_plain,16384,36,19729.821,19682.699,19894.451
selected-before,selected_filtered_c1_multi,0,36,632.182,631.668,633.253
selected-before,selected_filtered_c1_multi,1,36,165.155,160.944,167.676
selected-before,selected_filtered_c1_multi,64,36,1545.898,1535.924,1554.815
selected-before,selected_filtered_c1_multi,1024,36,2393.229,2382.598,2404.877
selected-before,selected_filtered_c1_multi,16384,36,19073.406,17155.191,19234.053
selected-before,selected_filtered_c1_plain,0,36,634.471,633.214,637.672
selected-before,selected_filtered_c1_plain,1,36,162.185,161.604,162.621
selected-before,selected_filtered_c1_plain,64,36,1546.611,1539.896,1559.866
selected-before,selected_filtered_c1_plain,1024,36,2411.499,2394.501,2429.962
selected-before,selected_filtered_c1_plain,16384,36,19099.770,17454.914,19260.010
selected-before,selected_filtered_c2_multi,0,36,631.185,628.242,632.691
selected-before,selected_filtered_c2_multi,1,36,163.724,162.476,164.578
selected-before,selected_filtered_c2_multi,64,36,1542.389,1536.326,1554.057
selected-before,selected_filtered_c2_multi,1024,36,2391.175,2385.000,2410.146
selected-before,selected_filtered_c2_multi,16384,36,17519.528,17483.967,17620.610
selected-before,selected_filtered_c2_plain,0,36,631.918,630.038,633.560
selected-before,selected_filtered_c2_plain,1,36,165.108,164.352,166.961
selected-before,selected_filtered_c2_plain,64,36,1543.294,1536.728,1566.625
selected-before,selected_filtered_c2_plain,1024,36,2411.377,2393.799,2427.449
