family,variant,target,collector,rows,shape,scenario,fastest_ns,slowest_ns,median_ns,mean_ns
bool,after,neon,plain,64,ConstantLhs,ObservableFailure,12150.0,18450.0,12410.0,12510.0
bool,after,neon,plain,64,ConstantLhs,PartialAccepted,2005.9999999999998,7281.0,2170.0,2212.0
bool,after,neon,plain,64,ConstantRhs,AllValid,863.6,1880.0,920.6,933.6
bool,after,neon,plain,64,ConstantRhs,NullOnlyFailure,14130.0,21210.0,14680.0,15110.0
bool,after,neon,plain,64,ConstantRhs,ObservableFailure,12110.0,18220.0,12410.0,12530.0
bool,after,neon,plain,64,ConstantRhs,PartialAccepted,1967.0,8465.0,2225.0,2264.0
bool,after,neon,plain,16384,Columns,AllValid,8831.0,14770.0,9438.0,9684.0
bool,after,neon,plain,16384,Columns,NullOnlyFailure,48560.0,66120.0,50740.0,51320.0
bool,after,neon,plain,16384,Columns,ObservableFailure,20130.0,28720.0,21430.0,21500.0
bool,after,neon,plain,16384,Columns,PartialAccepted,9911.0,18020.0,10990.0,11120.0
bool,after,neon,plain,16384,ConstantLhs,AllValid,7172.0,14750.0,8260.0,8224.0
bool,after,neon,plain,16384,ConstantLhs,NullOnlyFailure,47740.0,56930.0,49120.0,49620.0
bool,after,neon,plain,16384,ConstantLhs,ObservableFailure,18300.0,24710.0,19160.0,19420.0
bool,after,neon,plain,16384,ConstantLhs,PartialAccepted,8127.000000000001,14290.0,9195.0,9246.0
bool,after,neon,plain,16384,ConstantRhs,AllValid,6707.0,17870.0,7622.0,7645.0
bool,after,neon,plain,16384,ConstantRhs,NullOnlyFailure,46840.0,65379.99999999999,48240.0,48800.0
bool,after,neon,plain,16384,ConstantRhs,ObservableFailure,17800.0,25160.0,18800.0,18970.0
bool,after,neon,plain,16384,ConstantRhs,PartialAccepted,7716.0,13440.0,8617.0,8677.0
bool,before,avx2,multiversioned,64,Columns,AllValid,1030.0,8434.0,1152.0,1182.0
bool,before,avx2,multiversioned,64,Columns,NullOnlyFailure,9569.0,18530.0,9873.0,10230.0
bool,before,avx2,multiversioned,64,Columns,ObservableFailure,7933.0,17390.0,8090.999999999999,8330.0
bool,before,avx2,multiversioned,64,Columns,PartialAccepted,1785.0,40670.0,2003.0,2117.0
